retailer,brand,model,product_url,image_url,colourway_shown,price_gbp,rrp_gbp,delivery_cost_gbp,landed_cost_gbp,over_budget,condition,one_off,seats,leg_rest,chaise_side,modular,overall_width_cm,overall_depth_cm,overall_height_cm,seat_depth_cm,seat_height_cm,arm_style,fabric,easy_clean,removable_covers,seat_filling,frame_material,warranty,returns_window,delivery_lead_time,review_score,review_count,notes
Snug eBay outlet (Snug sofa clearance),Snug,The Rebel RH Chaise Corner Sofa - showroom model,https://www.ebay.co.uk/itm/176610590523,https://i.ebayimg.com/images/g/p9sAAOSwvLplvRmy/s-l1600.jpg,Mid Grey,999,,50,1049,no,ex-display,yes,3,chaise,right,yes,208,168,90,121,,,100% polyester,,,foam,,,14 days (buyer pays return postage),"Est. 5-10 days from Enfield; free local collection within 15mi",,,"eBay item specifics publish Item Length 208cm / Item Width 168cm / Item Height 90cm / Seat Depth 121cm - length mapped to overall width, width to overall depth (chaise return). Seller notes: showroom model, minor marking, structurally perfect. 90kg, assembly required (tool-free Snug click system). Deepest in-budget find."
Willow & Hall,Willow & Hall,The Somerton 2 Seater Sofa (clearance) + The Bower footstool,https://www.willowandhall.co.uk/the-somerton-2-seater-sofa-261152-2.html,https://www.willowandhall.co.uk/media/catalog/product/s/o/some-2so-f-regal_1.jpeg,"Stain Resistant Deep Velvet, Regal",1096.50,1515,85,1181.50,no,clearance,yes,2,footstool,,no,162,92,93,56,49,square,Stain Resistant Deep Velvet,yes,yes,foam,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"Sofa GBP892.50 (was GBP1,275, one-off clearance piece, fixed fabric/fill) + The Bower footstool (https://www.willowandhall.co.uk/the-bower.html) from £204 in the August sale (was £240); W&H charge one delivery fee per order at the highest item rate, so GBP85 covers both. Square arms match the Raft Loft look but only 92cm deep - well short of the 112cm target. Seat cushions Reflex Foam; removable seat & back cushion covers. Cheaper stool alternative: Thames Footstool GBP136."
Willow & Hall,Willow & Hall,The Appley 4 Seater Sofa Bed (clearance) + The Bower footstool,https://www.willowandhall.co.uk/the-appley-4-seater-sofa-bed-00269450.html,https://www.willowandhall.co.uk/media/catalog/product/a/p/appley.jpeg,"Stain Resistant Deep Velvet, Galaxy",1044,1290,85,1129,no,clearance,yes,4,footstool,,no,158,90,83,62,43,,Stain Resistant Deep Velvet,yes,yes,,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"Sofa GBP840 (was GBP1,050) + The Bower footstool (https://www.willowandhall.co.uk/the-bower.html) from £204 in the August sale (was £240). Cheapest in-budget clearance route. Roll-out sofa bed, low 83cm back and 43cm seat height; 62cm seat depth is the deepest seat in W&H's in-budget clearance. Depth extended (bed) 192cm. Overall depth only 90cm."
Willow & Hall,Willow & Hall,The Dunsmore 2 Seater Sofa (clearance) + The Bower footstool,https://www.willowandhall.co.uk/the-dunsmore-2-seater-sofa-00265658.html,https://www.willowandhall.co.uk/media/catalog/product/d/u/duns-2so-f-peacock.jpeg,"Stain Resistant Cotton, Peacock",1130,1475,85,1215,yes,clearance,yes,2,footstool,,no,160,92,97,56,49,curved,Stain Resistant Cotton,yes,yes,foam,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"Sofa GBP926 (was GBP1,235) + The Bower footstool (https://www.willowandhall.co.uk/the-bower.html) from £204 in the August sale (was £240). GBP15 over budget as priced; drops to GBP1,147 landed if paired with the GBP136 Thames Footstool instead. Mid-century curved arms, angular back frame."
Willow & Hall,Willow & Hall,The Atworth 2 Seater Sofa (clearance) + The Bower footstool,https://www.willowandhall.co.uk/the-atworth-2-seater-sofaf-00264578.html,https://www.willowandhall.co.uk/media/catalog/product/a/t/atworth_sofa.jpeg,,1209,1580,85,1294,yes,clearance,yes,2,footstool,,no,154,92,96,56,46,,,,yes,,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"Sofa GBP1,005 (was GBP1,340) + The Bower footstool (https://www.willowandhall.co.uk/the-bower.html) from £204 in the August sale (was £240). Narrowest of the W&H clearance 2-seaters at 154cm. Arm height 65cm."
Willow & Hall,Willow & Hall,The Deverill 2 Seater Modular Sofa Bed (clearance) + The Bower footstool,https://www.willowandhall.co.uk/the-deverill-2-seater-modular-sofa-bed-00266674.html,https://www.willowandhall.co.uk/media/catalog/product/d/e/deve-2mb-argent_1.jpeg,"House Weave, Argent",1347.75,1765,85,1432.75,yes,clearance,yes,2,footstool,,yes,137,94,95,54,48,armless,House Weave,,yes,,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"Sofa GBP1,143.75 (was GBP1,525) + The Bower footstool (https://www.willowandhall.co.uk/the-bower.html) from £204 in the August sale (was £240). The only genuinely MODULAR piece in W&H clearance - armless, so it can be extended with matching Deverill modules later (other Deverill modules in clearance: 3str GBP1,396, 4str GBP2,523.75-2,712.50, 4str chaise GBP2,671, 5str GBP2,894.50). Removable covers. Open-sprung mattress, bed depth extended 228cm."
Willow & Hall,Willow & Hall,The Buttermere 2 Seater Sofa (clearance) + The Bower footstool,https://www.willowandhall.co.uk/the-buttermere-2-seater-sofa-00269069.html,https://www.willowandhall.co.uk/media/catalog/product/b/u/buttermere_seashell_1_.jpeg,"Stain Resistant Broad Weave, Seashell",1471.50,1930,85,1556.50,yes,clearance,yes,2,footstool,,no,176,97,98,56,50,scroll,Stain Resistant Broad Weave,yes,yes,fibre,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"Sofa GBP1,267.50 (was GBP1,690) + The Bower footstool (https://www.willowandhall.co.uk/the-bower.html) from £204 in the August sale (was £240). DEEPEST sofa published anywhere in W&H's clearance at 97cm overall - still 15cm shallower than the Raft Loft. Scrolled mid-century back/arms, fibre-filled seat cushions. Well over budget."
Willow & Hall,Willow & Hall,The Foxcote 2 Seater Sofa (clearance) + The Bower footstool,https://www.willowandhall.co.uk/the-foxcote-2-seater-sofa-00269684.html,https://www.willowandhall.co.uk/media/catalog/product/f/o/foxcote_olive_1_.jpeg,"Stain Resistant Cotton, Olive",1576.50,2070,85,1661.50,yes,clearance,yes,2,footstool,,no,164,94,88,65,46,"rolled (Chesterfield-style, hand-pleated)",Stain Resistant Cotton,yes,yes,foam,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"Sofa GBP1,372.50 (was GBP1,830) + The Bower footstool (https://www.willowandhall.co.uk/the-bower.html) from £204 in the August sale (was £240). BEST SEAT DEPTH in the whole W&H clearance at 65cm - the closest W&H gets to a leg-supporting seat. Modern Chesterfield shape, so a formal look, not the Raft square-arm look. Well over budget."
Willow & Hall,Willow & Hall,The Alderton 4 Seater Right Chaise Sofa Bed (clearance),https://www.willowandhall.co.uk/the-alderton-4-seater-right-chaise-sofa-bed-00267755.html,https://www.willowandhall.co.uk/media/catalog/product/a/l/alderton_ink_1_.jpeg,,2025,2700,85,2110,yes,clearance,yes,4,chaise,right,no,238,92,96,56,49,,,,yes,,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"CHEAPEST true chaise in W&H clearance. Chaise Length (L) 185cm and Chaise Width 91cm - i.e. the chaise arm gives 185cm of leg support, far beyond the 112cm Raft target; the 92cm figure is the depth of the main body only. 238cm wide, so still inside the 250cm limit. Also has a double sofa bed (mattress 117x182cm). Around GBP900 over budget. A second Alderton in clearance at GBP2,208 (238cm/205cm internal)."
Willow & Hall,Willow & Hall,The Atworth 4 Seater Chaise Storage Right Sofa Bed (clearance),https://www.willowandhall.co.uk/the-atworth-4-seater-chaise-storage-right-sofa-bed-00268410.html,https://www.willowandhall.co.uk/media/catalog/product/a/t/atworth_3_seater_tuscan_1_.jpeg,,2313,3085,85,2398,yes,clearance,yes,4,chaise,right,no,229,92,96,56,46,,,,yes,,solid hardwood,25 years (frame),14 days,3-4 weeks,,,"Chaise Length (L) 185cm, Chaise Width 85cm, plus storage under the chaise and a double sofa bed. 229cm overall width fits the 250cm limit. Roughly GBP1,200 over budget. Image shown is the Atworth 3str - W&H reuse range imagery."
