retailer,brand,model,product_url,image_url,colourway_shown,price_gbp,rrp_gbp,delivery_cost_gbp,landed_cost_gbp,over_budget,condition,one_off,seats,leg_rest,chaise_side,modular,overall_width_cm,overall_depth_cm,overall_height_cm,seat_depth_cm,seat_height_cm,arm_style,fabric,easy_clean,removable_covers,seat_filling,frame_material,warranty,returns_window,delivery_lead_time,review_score,review_count,notes
Raft Furniture (RAFT Outlet Centre),Raft,Loft Modular Sofa (5-piece modular formation),https://www.raftfurniture.co.uk/loft-sofa-in-easy-clean-chenille-bone-outlet.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet_june-2026_loft-front.jpg,Bone,2694,5388,included,2694,yes,clearance,yes,4+,none,,yes,300,112,85,,,wide square,Easy Clean Chenille,yes,,,European sustainable hardwood,,,1-3 weeks,,,"OUT OF STOCK at time of check. THE REFERENCE MODEL. Raft's own outlet listing of the Loft Modular. 112cm deep, Pirelli webbing suspension. Fails width (300cm) and budget; no leg rest module in this configuration."
Raft Furniture (RAFT Outlet Centre),Raft,Studio Loft Infill (armless modular unit),https://www.raftfurniture.co.uk/studio-loft-infill-in-boucle-almond-outlet.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet-july-2026_studio-loft-infill-front.jpg,Almond,1384,2769,35,1419,yes,clearance,yes,2,none,,yes,160,102,80,,,armless,Boucle,,,,,,,1-3 weeks,,,"OUT OF STOCK at time of check. Loft-family armless modular infill unit, 102cm deep. Could be combined with a Loft chaise/ottoman module but none in outlet. Lead time 6-8 weeks (made to order)."
Raft Furniture (RAFT Outlet Centre),Raft,Madison 3.5 Seater Sofa with Footstool,https://www.raftfurniture.co.uk/madison-3-5-seater-sofa-in-stain-resistant-velvet-graphite-with-footstool-outlet.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet_june-2026_madison-3.5-seater-front.jpg,Graphite,2088,4176,included,2088,yes,clearance,yes,3.5,footstool,,no,210,99,90,,,high slim rectangular,Stain Resistant Velvet,yes,,feather-blend,European sustainable hardwood,,,1-3 weeks,,,"OUT OF STOCK at time of check. Only sofa+footstool bundle in the Raft outlet. Footstool 90x60cm. Five inches of feather around a foam core. Width and depth OK, but 74% over budget."
Raft Furniture (RAFT Outlet Centre),Raft,Lincoln Loveseat,https://www.raftfurniture.co.uk/lincoln-loveseat-in-stain-resistant-velvet-smoke-grey-scatters.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet-dec-2025_lincoln-loveseat-velvet-smoke-1.jpg,Smoke,1100,2201,35,1135,no,clearance,yes,2,none,,no,147,108,90,,,round,Stain Resistant Velvet,yes,,feather-blend,European sustainable hardwood,,,1-3 weeks,,,"DEEPEST in-budget Raft outlet piece (108cm). No leg rest: add outlet Footstool 90x90cm at GBP385 -> GBP1520 landed, which breaks budget."
Raft Furniture (RAFT Outlet Centre),Raft,Melrose Love Seat,https://www.raftfurniture.co.uk/melrose-love-seat-in-mixed-weave-olympia.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet-july-2026_melrose-chair-and-a-half-front.jpg,Olympia,905,1810,35,940,no,clearance,yes,2,none,,no,132,99,90,,,,Mixed Weave,,,,,,,1-3 weeks,,,"Cheapest 2-seat Raft outlet piece. 99cm deep, only 132cm wide. Lead time 6-8 weeks (made to order, not one-off stock). No leg rest."
Raft Furniture (RAFT Outlet Centre),Raft,Marlowe 2 Seater Sofa,https://www.raftfurniture.co.uk/marlowe-2-seater-sofa-in-mixed-weave-chiffon-outlet.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet-july-2026_marlowe-2-seater-front.jpg,Chiffon,1310,2620,35,1345,yes,clearance,yes,2,none,,no,163,99,97,,,square,Mixed Weave,,,,,,,1-3 weeks,,,"Square arms and piped detailing. Fibre back cushions. No leg rest, over budget."
Raft Furniture (RAFT Outlet Centre),Raft,Oscar 2 Seater Sofa,https://www.raftfurniture.co.uk/oscar-2-seater-sofa-in-linen-blend-lovat-outlet.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet-dec-2025_oscar-seater-sofa-in-linen-blend-lovat.jpg,Lovat,1658,3317,35,1693,yes,clearance,yes,2,none,,no,166,99,79,,,round,Linen Blend,,,,European sustainable hardwood,,,1-3 weeks,,,"Low (79cm) with exaggerated rake - closest Raft outlet piece to the low Loft silhouette, but round arms and no leg rest."
Raft Furniture (RAFT Outlet Centre),Raft,New York 4 Seater Sofa,https://www.raftfurniture.co.uk/new-york-4-seater-sofa-in-linen-dove-outlet.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet_june-2026_new-york-4-seater-front.jpg,Dove,1634,3268,35,1669,yes,clearance,yes,4,none,,no,245,99,90,,,square,Linen,,,,European sustainable hardwood,,,1-3 weeks,,,"Square arms, neutral linen, 245cm - just inside the width limit. No leg rest."
Raft Furniture (RAFT Outlet Centre),Raft,Footstool in Cotton & Linen Blend,https://www.raftfurniture.co.uk/footstool-in-cotton-linen-blend-in-indigo-outlet.html,https://www.raftfurniture.co.uk/media/catalog/product/cache/a9a897334541cb36dfa4ebc4591f34cb/o/u/outlet_june-2026_footstool-front.jpg,Indigo,385,771,35,420,no,clearance,yes,0,footstool,,no,90,90,60,,,,Cotton & Linen Blend,,,,,,,1-3 weeks,,,LEG REST ONLY (no seats). Large 90x90cm outlet footstool - the piece to pair with a Raft outlet loveseat. Included so combination costs can be computed.
WB Furniture (Chorley clearance outlet),EgoItaliano,Anais Chaise Sofa,https://www.wbfurniture.co.uk/egoitaliano-anais-chaise-sofa-in-pink-velvet-with-gold-legs-and-adjustable-headrest.html,https://www.wbfurniture.co.uk/media/catalog/product/cache/6b1c09900b407c50fce2db5e66ebc123/e/g/egoitaliano-anais-chaise-pink-w6496_15_.jpg,Pink velvet,884,1769,150,1034,no,ex-display,yes,2,chaise,,no,179,106,74,,,,Velvet,,,,,12 months,30 days,5-15 working days,,,"BEST IN-BUDGET MATCH ON DEPTH+LEG REST: 106cm deep, only 179cm wide, low 74cm back - closest silhouette to the Loft. Adjustable headrest, gold legs. Downside: pink velvet, not the neutral the buyer wants. Some visible marks/creases to the velvet nap. Delivery = WB Zone 3 large-furniture rate GBP150 (Chorley->London); Zone 2 would be GBP120 and delivery is charged once per order, not per item."
