retailer,brand,model,product_url,image_url,colourway_shown,price_gbp,rrp_gbp,delivery_cost_gbp,landed_cost_gbp,over_budget,condition,one_off,seats,leg_rest,chaise_side,modular,overall_width_cm,overall_depth_cm,overall_height_cm,seat_depth_cm,seat_height_cm,arm_style,fabric,easy_clean,removable_covers,seat_filling,frame_material,warranty,returns_window,delivery_lead_time,review_score,review_count,notes
eBay UK,Raft,Loft,https://www.ebay.co.uk/itm/205196791847,https://i.ebayimg.com/images/g/IzcAAOSwBJtncys~/s-l1600.webp,Blue velvet,1383.70,,13.35,1397.05,yes,second-hand,yes,6,chaise,,yes,,,62,,,,Velvet,,,foam,,,,1-2 days,,,"Genuine Raft Loft, 2024, four separate modules that can be rearranged. Seller in Edgware HA8; free local collection in person, or courier at £13.35. Width left blank because the listing conflicts with itself (seller text says the sofa is 3m long, eBay item specifics say item length 220cm). eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Loft,https://www.ebay.co.uk/itm/276029404993,https://i.ebayimg.com/images/g/E-wAAOSwao9k9OcM/s-l1600.webp,Grey Raft house chenille,822.70,,,822.70,no,second-hand,yes,3,footstool,,yes,300,112,90,,,,Chenille,,,,,,none,,,,"Genuine Raft Loft 3-seater modular WITH a matching modular foot rest, plus three extra-large scatter cushions. 112cm depth is the exact Loft depth the buyer is after. Seller in Hitchin SG4 (approx 35 miles north of London); collection only, no returns. 300cm total width exceeds the 250cm limit but it is modular so it can be reconfigured narrower. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Modular Sofa Set (corner + infill units),https://www.ebay.co.uk/itm/377097139139,https://i.ebayimg.com/images/g/5ooAAeSw5axpZhYO/s-l1600.webp,Cream,516.70,,,516.70,no,second-hand,yes,,none,,yes,,115,,,,,Cotton linen,,yes,feather,,,none,,,,"Handmade Raft modular set: 3 corner units (112cm W x 115cm D each) + 2 infill units (80cm W x 115cm D each), 5 scatter cushions. All seat, back and scatter cushions goose-down filled; zipped machine-washable covers. Seller quotes config widths of approx 226cm (2-seater with arms), 276cm and 306cm, so overall width left blank as it is configurable. Seller in Dunstable LU5; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Manhattan,https://www.ebay.co.uk/itm/178319934050,https://i.ebayimg.com/images/g/sGUAAeSwZl5qWUD2/s-l1600.webp,Grey,771.70,,,771.70,no,second-hand,yes,3.5,chaise,reversible,,226,112,90,,,Wide,Linen blend,,yes,,,,none,,,,"Genuine Raft Manhattan 3.5-seater L-shape, 112cm deep, wide arms, deep seat, chaise can go on either side, covers removable and washable, recently professionally cleaned. Seller in London SW19 (Wimbledon); collection only, no returns. NOTE: the same sofa appears to be listed by the same seller on Gumtree at £620 - check that listing first. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Manhattan,https://www.ebay.co.uk/itm/298593150021,https://i.ebayimg.com/images/g/j8UAAeSwXyBqeJFU/s-l1600.webp,Soft grey velvet,567.70,,,567.70,no,second-hand,yes,,chaise,,,245,180,90,,,,Velvet,,,,,,none,,,,"Genuine Raft Manhattan sectional with chaise, 245cm wide. Seller states approx £4,000 new. Located Shoreham-by-Sea / Hove BN43 (approx 45 miles from London); collection only, no returns. NOTE: the same sofa appears on Gumtree from the same seller at £400 - check that listing first. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Melrose,https://www.ebay.co.uk/itm/318748273693,https://i.ebayimg.com/images/g/PYcAAeSwq2JqhDbs/s-l1600.webp,Grey - Chamonix 176 Cloud,822.70,3000,,822.70,no,second-hand,yes,3,chaise,,,,112,,,,,Chamonix 176 Cloud,,,,Wood,,none,,,,"Genuine Raft Melrose 3-seater with chaise. Listing gives depth as 112cm (146cm including the chaise). Some soiling on cushions, seller suggests a dry clean. Seller in Berkhamsted HP4 (Dunstable area, approx 30 miles from London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Boston,https://www.ebay.co.uk/itm/158149633609,https://i.ebayimg.com/images/g/F~YAAeSw7RNqcI99/s-l1600.webp,Grey chenille,363.70,,,363.70,no,second-hand,yes,,none,,yes,,116,85,,,,Chenille,,,,Steel,,none,,,,"Genuine Raft Boston modular corner sofa: 2 corner units (116 x 116cm) + 2 infill units (106 x 116cm), listing says seats more than 6. Overall width left blank as it is modular. Decorative cushions not included, seller open to offers. Seller in Stanmore HA7 (north-west London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Raft-reupholstered 3-part sofa,https://www.ebay.co.uk/itm/377396771450,https://i.ebayimg.com/images/g/B9AAAeSw46tqZLt2/s-l1600.webp,Grey,363.70,,,363.70,no,second-hand,yes,3,none,,,190,,82,49,,,,,,,,,none,,,,"Not a Raft model - an older sofa in 3 parts that Raft reupholstered 5 years ago with new cushions and covers. Slight stain on one cover. Seller in Bethnal Green, London E2; collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Lincoln,https://www.ebay.co.uk/itm/406637955217,https://i.ebayimg.com/images/g/yVEAAeSwD3Zpde93/s-l1600.webp,Terracotta / burnt orange velvet,1026.70,,,1026.70,no,second-hand,yes,3.5,none,,,234,108,90,,,Round,Stain-resistant velvet,yes,,feather-blend,European sustainable hardwood,,none,,,,"Genuine Raft Lincoln 3.5-seater bought with removable arm rests (extra cost) to ease moving through tight doorways. Cushions are feather-wrapped foam. A few scuffs at the back. Seller in London W9 (Maida Vale); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
eBay UK,Raft,Lincoln,https://www.ebay.co.uk/itm/267496401017,https://i.ebayimg.com/images/g/sBYAAeSwI5ppLMj9/s-l1600.webp,Grey with white cushions,618.70,,,618.70,no,second-hand,yes,3,none,,,265,115,65,,,Round,,,,feather-blend,European sustainable hardwood,,none,,,,"Genuine Raft Lincoln pair sold together: 3-seater (265 x 115 x 65cm) PLUS a matching 2-seater (182 x 115 x 65cm), all Raft scatter cushions included. Cushions are feather-wrapped foam. 115cm depth. The 265cm width exceeds the 250cm limit. Seller in St Albans AL1 (approx 25 miles from London); collection only, no returns. eBay price shown includes eBay's buyer protection fee. Second-hand stock is transient; this row may go stale quickly."
