retailer,brand,model,product_url,image_url,colourway_shown,price_gbp,rrp_gbp,delivery_cost_gbp,landed_cost_gbp,over_budget,condition,one_off,seats,leg_rest,chaise_side,modular,overall_width_cm,overall_depth_cm,overall_height_cm,seat_depth_cm,seat_height_cm,arm_style,fabric,easy_clean,removable_covers,seat_filling,frame_material,warranty,returns_window,delivery_lead_time,review_score,review_count,notes
Sofology,Sofology,Mayfair 3 Seater with Right Hand Facing Chaise (foam seat),https://www.sofology.co.uk/clearance-sofas/mayfair?code=SKU001983543,https://images.sofology.co.uk/productmedia/scoops/sku001983543.png,Mayfair Luxury Chenille Sage,949,1299,129,1078,no,ex-display,yes,3,chaise,right,no,202,147,90,,,,Luxury chenille,,,foam,,4 years,,3 days,,,"Sofology clearance/outlet, ex-display one-off. 147cm is the full depth measured across the chaise; the sofa body itself is 95cm deep (published as W179 x H90 x D95 for the 2-seater in the same range). Delivery GBP129 for sofas per Sofology delivery page."
Sofology,Sofology,Mayfair 3 Seater with Left Hand Facing Chaise (foam seat),https://www.sofology.co.uk/clearance-sofas/mayfair?code=SKU002007629,https://images.sofology.co.uk/productmedia/scoops/sku002007629.png,Mayfair Luxury Chenille Olive,949,1299,129,1078,no,ex-display,yes,3,chaise,left,no,202,147,90,,,,Luxury chenille,,,foam,,4 years,,3 days,,,"Sofology clearance/outlet, ex-display one-off. 147cm full depth is across the chaise; sofa body depth 95cm. Delivery GBP129."
Sofology,Sofology,Beaumont 3 Seater with Right Hand Facing Chaise (foam seat),https://www.sofology.co.uk/clearance-sofas/beaumont?code=SKU001869003,https://images.sofology.co.uk/productmedia/scoops/sku001869003.png,Beaumont Soft Chenille Olive Mix,1049,1399,129,1178,no,ex-display,yes,3,chaise,right,no,210,151,93,,,,Soft chenille,,,foam,,4 years,,3 days,,,"Sofology clearance/outlet, ex-display one-off. 151cm full depth is across the chaise; sofa body depth 97cm (2-seater in range published as W187 x H93 x D97). Delivery GBP129."
Sofology,Sofology,The Portobello Chaise 3 Seater Storage Sofa (foam cushion),https://www.sofology.co.uk/clearance-sofas/the-portobello?code=SKU001866037,https://images.sofology.co.uk/productmedia/scoops/sku001866037.png,Portobello Teddy Chenille Natural Mix,1199,1599,129,1328,yes,ex-display,yes,3,chaise,left,no,283,172,88,,,,Teddy chenille,,,foam,,4 years,,3 days,,,FAILS width (283cm > 250cm) and landed cost. Logged because the Portobello body depth of 106cm is the closest Sofology gets to the Raft 112cm; the 2-seater Portobello (W185 x H88 x D106) is GBP999 new but has no leg rest.
Furniture Village,Furniture Village,Slumber 3 Seater Sofa Bed with Reversible Chaise End Storage,https://www.furniturevillage.co.uk/slumber-3-seater-sofa-bed-with-reversible-chaise-end-storage/SLMB3CSBLGRY-001.html,https://media.furniturevillage.co.uk/i/fv/PRODZFRSP000000000070461_slumber_3-seater-sofa-bed-chaise-storage_light-grey?$medium$,Light Grey,795,,119,914,no,new,no,3,chaise,reversible,no,231,146,98,54,49,,Fabric,,,,,20 year guarantee,,,,,"FV dimension sheet: Height 98, Seat depth 54, Depth 83, Chaise/bed depth 146, Seat width 190, Width 231, Seat height 49, Arm height 62. overall_depth 146 is FV's 'Chaise/bed depth' (deepest footprint); the plain sofa run is only 83cm deep. Sofa-bed internal area 190 x 114cm. Delivery: FV published table = GBP119 for sofas."
Furniture Village,Furniture Village,Morgan Leather 3 Seater Sofa with Chaise End (LHF),https://www.furniturevillage.co.uk/morgan-leather-3-seater-sofa-with-chaise-end/WEBGMORGLCHS60-010-1.html,https://media.furniturevillage.co.uk/i/fv/PRODZFRSP000000000066383_morgan_leather-3-seater-chaise-end_montana-navy-cat-6024_no-recliner_left-hand-facing?$medium$,Montana Navy Cat-60/24,1065,,119,1184,no,new,no,3,chaise,left,no,229,155,98,55,50,,Leather,,,,,20 year guarantee,,,,,"FV dimension sheet: Height 98, Seat depth 55, Depth 93, Reclined depth 159, Seat width 121, Width 229, Chaise depth 155, Seat height 50, Arm height 65. overall_depth 155 = published 'Chaise depth'; the sofa run itself is 93cm deep. Delivery GBP119 (FV published sofa rate)."
Furniture Village,Furniture Village,Snooze Corner Sofa Bed with Storage Chaise (store clearance),https://www.furniturevillage.co.uk/snooze-corner-sofa-bed-with-storage-chaise/FVSC0000046692.html,https://media.furniturevillage.co.uk/i/fv/PRODFVSC0000046692_snooze-corner-sofa-bed-with-storage-chaise_store-clearance?$medium$,,745,,119,864,no,clearance,yes,3,chaise,,no,,,,,,,,,,,,20 year guarantee,,,,,"Store-clearance one-off. FV publishes NO dimensions on this clearance listing (no dimension sheet image, no spec text), so all dimension cells left empty. The full-price Snooze corner sofa bed in the same range publishes Height 98 / Seat depth 55 / Depth 99, but this clearance SKU is not confirmed identical so nothing carried over. Delivery GBP119."
Furniture Village,Furniture Village,Morgan 2-Seater Power Recliner & Storage Footstool (store clearance),https://www.furniturevillage.co.uk/morgan-2-seater-power-recliner-and-storage-footstool./FVSC0000046135.html,https://media.furniturevillage.co.uk/i/fv/PRODFVSC0000046135_morgan-2-seater-power-recliner-storage-footstool_store-clearance?$medium$,,995,,119,1114,no,clearance,yes,2,footstool,,no,,,,,,,,,,,,20 year guarantee,,,,,"Store-clearance one-off; storage footstool included in the price. FV publishes no dimensions on this clearance listing, so dimension cells left empty. Note the Morgan range's published seat depth elsewhere is 55cm and run depth 93cm, but not confirmed for this SKU. Delivery GBP119."
Furniture Village,World of Leather,Touch 2-Seater Power Recliner & Storage Footstool (store clearance),https://www.furniturevillage.co.uk/touch-2-seater-power-recliner-and-storage-footstool/FVSC0000046138.html,https://media.furniturevillage.co.uk/i/fv/PRODFVSC0000046138_touch-2-seater-power-recliner-storage-footstool_store-clearance?$medium$,,1195,,119,1314,yes,clearance,yes,2,footstool,,no,,,,,,,Leather,,,,,20 year guarantee,,,,,"Store-clearance one-off, footstool included. Over budget once FV's GBP119 sofa delivery is added. No dimensions published on the clearance listing."
Furniture Village,Furniture Village,Snooze Corner Sofa Bed with Chaise End Storage (RHF),https://www.furniturevillage.co.uk/snooze-corner-sofa-bed-with-chaise-end-storage/SNOORCCSCHAR-001.html,https://media.furniturevillage.co.uk/i/fv/PRODZFRSP000000000070471_snooze_corner-sofa-bed-storage_charcoal_right-hand-facing?$medium$,Charcoal,1195,,119,1314,yes,new,no,4,chaise,right,no,249,211,98,55,49,,Fabric,,,,,20 year guarantee,,,,,"L-shape. FV publishes Width 1: 249cm and Width 2: 211cm, so 211 recorded as the front-to-back footprint; the depth of each run is 99cm and bed depth 157cm. Height 98, Seat depth 55, Seat height 49, Arm height 63. Sofa bed internal 186 x 126cm. Over budget with GBP119 delivery."
