retailer,brand,model,product_url,image_url,colourway_shown,price_gbp,rrp_gbp,delivery_cost_gbp,landed_cost_gbp,over_budget,condition,one_off,seats,leg_rest,chaise_side,modular,overall_width_cm,overall_depth_cm,overall_height_cm,seat_depth_cm,seat_height_cm,arm_style,fabric,easy_clean,removable_covers,seat_filling,frame_material,warranty,returns_window,delivery_lead_time,review_score,review_count,notes
IKEA,IKEA,SODERHAMN 2-seat sofa with chaise longue,https://www.ikea.com/gb/en/p/soederhamn-2-seat-sofa-with-chaise-longue-kelinge-beige-s79621761/,https://www.ikea.com/gb/en/images/products/soederhamn-2-seat-sofa-with-chaise-longue-kelinge-beige__1499601_pe1006734_s5.jpg,Kelinge beige,649,,40,689,no,new,no,2,chaise,,yes,186,99,83,48,40,,"66.5% polyester (100% recycled), 25% modacrylic, 8.5% cotton",,yes,,"Plywood, fibreboard, steel, solid wood",10 years,,,4.3,90,Single SKU. IKEA publishes Depth 99cm for the sofa body and Depth chaise longue 151cm; seat depth on the chaise is 100cm (vs 48cm on the sofa seats). Overall height 83cm incl. back cushions. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard.
IKEA,IKEA,SODERHAMN 3-seat sofa + KIVIK footstool with storage,https://www.ikea.com/gb/en/p/soederhamn-3-seat-sofa-kelinge-beige-s39621635/,https://www.ikea.com/gb/en/images/products/soederhamn-3-seat-sofa-kelinge-beige__1499662_pe1006784_s5.jpg,Kelinge beige / Tibbleby beige-grey,749,,40,789,no,new,no,3,footstool,,yes,198,99,83,48,40,,"66.5% polyester (100% recycled), 25% modacrylic, 8.5% cotton",,yes,,"Fibreboard, polyurethane foam, plywood, solid wood, steel",10 years,,,3.6,169,"Combination priced by me: SODERHAMN 3-seat sofa GBP599 (W198 D99 H83, seat depth 48, seat height 40) + KIVIK footstool with storage GBP150 (W90 D70 H43, https://www.ikea.com/gb/en/p/kivik-footstool-with-storage-tibbleby-beige-grey-s39440499/). Cross-range pairing - no SODERHAMN footstool is sold. Width/depth quoted are the sofa only. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard."
IKEA,IKEA,VIMLE 2-seat sofa + VIMLE footstool with storage,https://www.ikea.com/gb/en/p/vimle-2-seat-sofa-gunnared-beige-s79398974/,https://www.ikea.com/gb/en/images/products/vimle-2-seat-sofa-gunnared-beige__1577191_pe1033009_s5.jpg,Gunnared beige,898,,40,938,no,new,no,2,footstool,,yes,171,98,83,55,48,,100% polyester,,yes,foam,"Plywood, polyurethane foam, particleboard, solid wood, LVL, fibreboard",10 years,,,4.5,92,"Combination priced by me: VIMLE 2-seat sofa GBP649 (W171 D98 H83, seat depth 55, seat height 48) + VIMLE footstool with storage GBP249 (W73 D98 H48, https://www.ikea.com/gb/en/p/vimle-footstool-with-storage-gunnared-beige-s79392585/). Back cushions are polyester fibre balls; seat cushion high-resilience cold foam. Width/depth quoted are the sofa only. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard."
IKEA,IKEA,VIMLE 3-seat sofa + VIMLE footstool with storage,https://www.ikea.com/gb/en/p/vimle-3-seat-sofa-gunnared-beige-s59399031/,https://www.ikea.com/gb/en/images/products/vimle-3-seat-sofa-gunnared-beige__0514366_pe639439_s5.jpg,Gunnared beige,998,,40,1038,no,new,no,3,footstool,,yes,241,98,83,55,48,,100% polyester,,yes,foam,"Plywood, polyurethane foam, particleboard, solid wood, LVL, fibreboard",10 years,,,3.9,202,Combination priced by me: VIMLE 3-seat sofa GBP749 (W241 D98 H83) + VIMLE footstool with storage GBP249. Width/depth quoted are the sofa only. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard.
IKEA,IKEA,VIMLE 2-seat section + chaise longue section + 1 armrest,https://www.ikea.com/gb/en/p/vimle-2-seat-section-gunnared-beige-s79392415/,https://www.ikea.com/gb/en/images/products/vimle-2-seat-section-gunnared-beige__0531852_pe647593_s5.jpg,Gunnared beige,974,,40,1014,no,new,no,2,chaise,reversible,yes,237,98,83,55,48,,100% polyester,,yes,foam,"Plywood, polyurethane foam, particleboard, solid wood, LVL, fibreboard",10 years,,,4.3,55,"Modular build priced by me: VIMLE 2-seat section GBP499 (W141 D98) + VIMLE chaise longue section GBP400 (W81 D164, seat depth 125) + 1x VIMLE armrest GBP75 (W15). Combined width 141+81+15=237cm. Adding the second armrest would take it to 252cm, over the 250cm limit, so this build has one open end. Sofa-body depth 98cm; the chaise arm is 164cm deep with a 125cm seat. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard."
IKEA,IKEA,KIVIK 2-seat sofa + KIVIK footstool with storage,https://www.ikea.com/gb/en/p/kivik-2-seat-sofa-tibbleby-beige-grey-s29440598/,https://www.ikea.com/gb/en/images/products/kivik-2-seat-sofa-tibbleby-beige-grey__1577305_pe1033079_s5.jpg,Tibbleby beige-grey,549,,40,589,no,new,no,2,footstool,,yes,190,95,83,60,45,,100% polyester,,yes,foam,"Fibreboard, plywood, polyurethane foam, particleboard, solid wood, LVL",10 years,,,4.4,409,"Combination priced by me: KIVIK 2-seat sofa GBP399 (W190 D95 H83, seat width 140, seat depth 60, seat height 45) + KIVIK footstool with storage GBP150 (W90 D70 H43). Seat cushion is high-resilience cold foam 35kg/m3. Width/depth quoted are the sofa only. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard."
IKEA,IKEA,KIVIK 3-seat sofa + KIVIK footstool with storage,https://www.ikea.com/gb/en/p/kivik-3-seat-sofa-tibbleby-beige-grey-s69440596/,https://www.ikea.com/gb/en/images/products/kivik-3-seat-sofa-tibbleby-beige-grey__1577303_pe1033081_s5.jpg,Tibbleby beige-grey,649,,40,689,no,new,no,3,footstool,,yes,228,95,83,60,45,,100% polyester,,yes,foam,"Fibreboard, plywood, polyurethane foam, particleboard, solid wood, LVL",10 years,,,4.1,538,"Combination priced by me: KIVIK 3-seat sofa GBP499 (W228 D95 H83, seat depth 60) + KIVIK footstool with storage GBP150. Width/depth quoted are the sofa only. KIVIK 3-seat + chaise longue is 280cm wide, over the 250cm limit. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard."
IKEA,IKEA,LANDSKRONA 2-seat sofa + LANDSKRONA footstool,https://www.ikea.com/gb/en/p/landskrona-2-seat-sofa-gunnared-dark-grey-wood-s09270281/,https://www.ikea.com/gb/en/images/products/landskrona-2-seat-sofa-gunnared-dark-grey-wood__1576946_pe1032849_s5.jpg,Gunnared dark grey / wood,698,,40,738,no,new,no,2,footstool,,yes,164,89,78,61,44,,"74.5% polyester (min 90% recycled), 20% modacrylic, 5.5% cotton",,,foam,"Plywood, particleboard, solid wood, fibreboard",10 years,,,4.4,199,"Combination priced by me: LANDSKRONA 2-seat sofa GBP499 (W164 D89 H78, seat width 140, seat depth 61, seat height 44, armrest height 64) + LANDSKRONA footstool GBP199 (W65 L77 H44). Width/depth quoted are the sofa only. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard."
IKEA,IKEA,LANDSKRONA 2-seat sofa + chaise longue add-on unit,https://www.ikea.com/gb/en/p/landskrona-2-seat-sofa-gunnared-dark-grey-wood-s09270281/,https://www.ikea.com/gb/en/images/products/landskrona-2-seat-sofa-gunnared-dark-grey-wood__1576946_pe1032849_s5.jpg,Gunnared dark grey / wood,899,,40,939,no,new,no,2,chaise,reversible,yes,242,89,78,61,44,,"74.5% polyester (min 90% recycled), 20% modacrylic, 5.5% cotton",,,foam,"Plywood, particleboard, solid wood, fibreboard",10 years,,,4.4,199,"Combination priced by me: LANDSKRONA 2-seat sofa GBP499 (W164 D89) + LANDSKRONA chaise longue add-on unit GBP400 (W78 D158 H78, seat depth 128, seat height 44 - https://www.ikea.com/gb/en/p/landskrona-chaise-longue-add-on-unit-gunnared-dark-grey-wood-s89270244/). Combined width 164+78=242cm. Sofa-body depth 89cm; chaise arm is 158cm deep with a 128cm seat. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard."
IKEA,IKEA,LANDSKRONA 3-seat sofa + LANDSKRONA footstool,https://www.ikea.com/gb/en/p/landskrona-3-seat-sofa-gunnared-dark-grey-wood-s19270313/,https://www.ikea.com/gb/en/images/products/landskrona-3-seat-sofa-gunnared-dark-grey-wood__1576951_pe1032842_s5.jpg,Gunnared dark grey / wood,798,,40,838,no,new,no,3,footstool,,yes,204,89,78,61,44,,"74.5% polyester (min 90% recycled), 20% modacrylic, 5.5% cotton",,,foam,"Plywood, particleboard, solid wood, fibreboard",10 years,,,4.0,364,"Combination priced by me: LANDSKRONA 3-seat sofa GBP599 (W204 D89 H78, seat depth 61) + LANDSKRONA footstool GBP199. Width/depth quoted are the sofa only. IKEA UK home delivery priced from the published table on ikea.com/gb/en/customer-service/services/delivery/: heavy/fragile tier - individual box over 25 kg = GBP40 standard."
